vote_2020,Gender,Household_Income,Education,State,Age,Race,cell
Donald Trump,Male,"$70,000 to $74,999",Associate Degree,CA,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,KY,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$45,000 to $49,999","Completed some college, but no degree",PA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",NJ,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Male,"$55,000 to $59,999",Associate Degree,CA,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$175,000 to $199,999","Completed some college, but no degree",CA,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$100,000 to $124,999",High school graduate,FL,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$150,000 to $174,999",Associate Degree,CA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,MA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",OR,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$80,000 to $84,999",Associate Degree,GA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",Masters degree,AL,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$40,000 to $44,999",Associate Degree,AR,20 or less,"Black, or African American",Male 20 or less
Joe Biden,Female,"$50,000 to $54,999",Masters degree,VA,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$200,000 to $249,999",Masters degree,NY,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$40,000 to $44,999",High school graduate,MI,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,UT,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$20,000 to $24,999","Completed some college, but no degree",TX,21 to 30,Other race,Male 21 to 30
Joe Biden,Female,"$125,000 to $149,999",Masters degree,WA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,IL,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$30,000 to $34,999",Completed some high school,WI,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$250,000 and above",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Female,"Less than $14,999",High school graduate,OH,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$65,000 to $69,999",Masters degree,NC,71 to 80,White,Male 71 to 80
Joe Biden,Female,"$100,000 to $124,999",Masters degree,OH,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$100,000 to $124,999","Completed some college, but no degree",VA,31 to 40,Other race,Female 31 to 40
Joe Biden,Female,"$65,000 to $69,999","Completed some college, but no degree",AL,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",TX,above 80,White,Female above 80
Joe Biden,Female,"Less than $14,999",High school graduate,FL,71 to 80,White,Female 71 to 80
Donald Trump,Male,"$45,000 to $49,999","Completed some college, but no degree",IL,31 to 40,other asian or pacific islander,Male 31 to 40
Donald Trump,Female,"$45,000 to $49,999",Associate Degree,SC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$200,000 to $249,999",Masters degree,PA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$85,000 to $89,999",Associate Degree,MI,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$100,000 to $124,999","Completed some college, but no degree",MD,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Female,"$125,000 to $149,999",Associate Degree,FL,71 to 80,"Black, or African American",Female 71 to 80
Joe Biden,Male,"$70,000 to $74,999",Associate Degree,CA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$40,000 to $44,999",Masters degree,MT,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$70,000 to $74,999","Completed some college, but no degree",CA,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Female,"Less than $14,999",Associate Degree,NC,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$50,000 to $54,999",High school graduate,UT,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$100,000 to $124,999",Masters degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",IN,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,IL,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$35,000 to $39,999","Completed some college, but no degree",CA,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$175,000 to $199,999",Masters degree,CO,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$30,000 to $34,999",High school graduate,NC,41 to 50,"Black, or African American",Female 41 to 50
Joe Biden,Male,"$80,000 to $84,999",Associate Degree,NY,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",NY,41 to 50,"Black, or African American",Female 41 to 50
Joe Biden,Female,"$20,000 to $24,999","Completed some college, but no degree",CA,71 to 80,"Black, or African American",Female 71 to 80
Donald Trump,Male,"$35,000 to $39,999",Associate Degree,NC,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$125,000 to $149,999",Associate Degree,LA,31 to 40,"Black, or African American",Female 31 to 40
Donald Trump,Male,"$200,000 to $249,999",Masters degree,GA,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$65,000 to $69,999",Associate Degree,OH,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$20,000 to $24,999",Associate Degree,IN,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$60,000 to $64,999",Associate Degree,NJ,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Male,"$20,000 to $24,999",Associate Degree,IL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$40,000 to $44,999",Associate Degree,WA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$35,000 to $39,999",Completed some high school,SC,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Male,"$80,000 to $84,999",Masters degree,CA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$75,000 to $79,999","Completed some college, but no degree",OK,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$75,000 to $79,999",Associate Degree,FL,21 to 30,"Black, or African American",Female 21 to 30
Joe Biden,Female,"Less than $14,999",Completed some high school,NJ,31 to 40,Other race,Female 31 to 40
Donald Trump,Female,"Less than $14,999","Completed some college, but no degree",PA,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$40,000 to $44,999",Associate Degree,NY,61 to 70,other asian or pacific islander,Male 61 to 70
Donald Trump,Male,"$40,000 to $44,999",Associate Degree,OH,51 to 60,White,Male 51 to 60
Joe Biden,Male,"Less than $14,999",Completed some high school,CA,31 to 40,Other race,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,FL,41 to 50,"Black, or African American",Male 41 to 50
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,IL,51 to 60,White,Male 51 to 60
Joe Biden,Female,"$15,000 to $19,999",Associate Degree,KY,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$35,000 to $39,999",Completed some high school,MO,61 to 70,White,Female 61 to 70
Donald Trump,Male,"Less than $14,999",High school graduate,IN,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Female,"$25,000 to $29,999","Completed some college, but no degree",IA,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,NY,21 to 30,Other race,Female 21 to 30
Joe Biden,Male,"$100,000 to $124,999","Completed some college, but no degree",PA,20 or less,White,Male 20 or less
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",PA,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$40,000 to $44,999",High school graduate,NE,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$30,000 to $34,999",Masters degree,TX,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$250,000 and above",Masters degree,MI,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$150,000 to $174,999",Associate Degree,CA,51 to 60,Other race,Male 51 to 60
Donald Trump,Male,"$175,000 to $199,999",Associate Degree,WV,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$60,000 to $64,999",High school graduate,MA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$20,000 to $24,999",Completed some high school,PA,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$125,000 to $149,999",Completed some high school,FL,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$70,000 to $74,999","Completed some college, but no degree",CA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$75,000 to $79,999",High school graduate,FL,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$30,000 to $34,999",Completed some high school,SC,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",Associate Degree,CA,21 to 30,other asian or pacific islander,Female 21 to 30
Donald Trump,Female,"$15,000 to $19,999",Completed some high school,IL,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$65,000 to $69,999","Completed some college, but no degree",MO,20 or less,White,Male 20 or less
Donald Trump,Female,"$45,000 to $49,999",Masters degree,FL,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,MA,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Doctorate degree,CA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"Less than $14,999",High school graduate,CA,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$45,000 to $49,999",Associate Degree,TN,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Male,"$45,000 to $49,999",High school graduate,VA,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$50,000 to $54,999",Masters degree,NC,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$30,000 to $34,999","Completed some college, but no degree",MA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$200,000 to $249,999",Masters degree,CA,51 to 60,Chinese,Male 51 to 60
Donald Trump,Female,"$75,000 to $79,999","Completed some college, but no degree",IN,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$60,000 to $64,999",Masters degree,OR,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$70,000 to $74,999",High school graduate,FL,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,IL,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$60,000 to $64,999",Associate Degree,TX,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$20,000 to $24,999",Doctorate degree,LA,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Female,"$35,000 to $39,999",Associate Degree,NV,31 to 40,"Black, or African American",Female 31 to 40
Joe Biden,Female,"$70,000 to $74,999","Completed some college, but no degree",FL,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$45,000 to $49,999",Associate Degree,NY,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$20,000 to $24,999",High school graduate,OH,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$125,000 to $149,999",Masters degree,CO,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$80,000 to $84,999",Masters degree,FL,41 to 50,White,Female 41 to 50
Joe Biden,Female,"$55,000 to $59,999",High school graduate,IL,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$65,000 to $69,999",Associate Degree,MD,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,NC,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999",Associate Degree,NJ,20 or less,other asian or pacific islander,Female 20 or less
Joe Biden,Female,"$40,000 to $44,999",Associate Degree,MI,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$45,000 to $49,999",Associate Degree,MA,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Associate Degree,WI,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$50,000 to $54,999",High school graduate,WV,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$20,000 to $24,999",Associate Degree,NV,61 to 70,"Black, or African American",Male 61 to 70
Donald Trump,Female,"$40,000 to $44,999",Associate Degree,IL,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$40,000 to $44,999",Masters degree,OK,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$70,000 to $74,999",High school graduate,PA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$60,000 to $64,999",High school graduate,PA,41 to 50,White,Female 41 to 50
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,OH,31 to 40,White,Female 31 to 40
Joe Biden,Female,"Less than $14,999",High school graduate,WV,21 to 30,White,Female 21 to 30
Joe Biden,Male,"$40,000 to $44,999",High school graduate,CA,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$20,000 to $24,999","Completed some college, but no degree",NC,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,FL,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$35,000 to $39,999",High school graduate,CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$25,000 to $29,999",Completed some high school,TX,20 or less,Other race,Female 20 or less
Donald Trump,Female,"$20,000 to $24,999",Associate Degree,MN,71 to 80,White,Female 71 to 80
Joe Biden,Male,"$70,000 to $74,999",Associate Degree,TX,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$90,000 to $94,999",Masters degree,NY,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$125,000 to $149,999",Associate Degree,FL,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$55,000 to $59,999",Masters degree,FL,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$250,000 and above",Associate Degree,NJ,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$35,000 to $39,999","Completed some college, but no degree",SC,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$20,000 to $24,999",High school graduate,MA,71 to 80,White,Female 71 to 80
Joe Biden,Female,"$45,000 to $49,999",Associate Degree,IN,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$150,000 to $174,999",Doctorate degree,NY,41 to 50,White,Male 41 to 50
Joe Biden,Male,"Less than $14,999",Completed some high school,NJ,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Male,"$100,000 to $124,999","Completed some college, but no degree",OH,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$15,000 to $19,999",High school graduate,AL,51 to 60,"Black, or African American",Female 51 to 60
Donald Trump,Female,"Less than $14,999",Completed some high school,GA,31 to 40,White,Female 31 to 40
Donald Trump,Male,"$85,000 to $89,999",Associate Degree,NH,71 to 80,White,Male 71 to 80
Joe Biden,Male,"$15,000 to $19,999",High school graduate,CO,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$150,000 to $174,999",Masters degree,KS,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$40,000 to $44,999","Completed some college, but no degree",GA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$25,000 to $29,999",Associate Degree,ME,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,AZ,51 to 60,White,Female 51 to 60
Joe Biden,Male,"$50,000 to $54,999",High school graduate,NY,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$20,000 to $24,999",Completed some high school,PA,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,MD,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,CA,31 to 40,White,Male 31 to 40
Donald Trump,Female,"$125,000 to $149,999",Associate Degree,CA,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$40,000 to $44,999",Associate Degree,CA,21 to 30,Other race,Male 21 to 30
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,MO,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$30,000 to $34,999",Associate Degree,PA,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$15,000 to $19,999",Completed some high school,UT,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$250,000 and above",High school graduate,NY,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,NJ,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$25,000 to $29,999",Completed some high school,CA,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$35,000 to $39,999","Completed some college, but no degree",MI,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$45,000 to $49,999","Completed some college, but no degree",SC,71 to 80,White,Female 71 to 80
Donald Trump,Female,"$55,000 to $59,999","Completed some college, but no degree",VA,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$50,000 to $54,999",Associate Degree,SC,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$55,000 to $59,999",Masters degree,NJ,61 to 70,Other race,Female 61 to 70
Joe Biden,Female,"$50,000 to $54,999",High school graduate,FL,61 to 70,Other race,Female 61 to 70
Joe Biden,Male,"$125,000 to $149,999","Completed some college, but no degree",FL,41 to 50,"Black, or African American",Male 41 to 50
Joe Biden,Female,"$80,000 to $84,999","Completed some college, but no degree",SD,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,AL,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,WI,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,NY,61 to 70,White,Male 61 to 70
Joe Biden,Male,"Less than $14,999",Associate Degree,NY,21 to 30,"Black, or African American",Male 21 to 30
Joe Biden,Male,"$100,000 to $124,999",Associate Degree,OR,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$35,000 to $39,999","Completed some college, but no degree",TN,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$35,000 to $39,999","Completed some college, but no degree",CA,51 to 60,White,Female 51 to 60
Donald Trump,Female,"Less than $14,999",Completed some high school,IA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$25,000 to $29,999",High school graduate,FL,41 to 50,"Black, or African American",Female 41 to 50
Joe Biden,Male,"$20,000 to $24,999",High school graduate,OH,61 to 70,"Black, or African American",Male 61 to 70
Joe Biden,Female,"Less than $14,999",Completed some high school,OH,20 or less,"Black, or African American",Female 20 or less
Joe Biden,Female,"Less than $14,999",Completed some high school,NC,21 to 30,White,Female 21 to 30
Donald Trump,Male,"$90,000 to $94,999",High school graduate,OH,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$85,000 to $89,999",Associate Degree,AZ,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,NJ,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$15,000 to $19,999",Completed some high school,MI,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$150,000 to $174,999",Masters degree,ND,41 to 50,White,Male 41 to 50
Joe Biden,Female,"Less than $14,999",Completed some high school,OH,31 to 40,White,Female 31 to 40
Joe Biden,Female,"$125,000 to $149,999",Completed some high school,GA,51 to 60,"Black, or African American",Female 51 to 60
Joe Biden,Male,"Less than $14,999",High school graduate,CA,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Male,"$20,000 to $24,999",Completed some high school,WA,41 to 50,White,Male 41 to 50
Joe Biden,Male,"$175,000 to $199,999",Doctorate degree,AZ,71 to 80,White,Male 71 to 80
Donald Trump,Female,"$90,000 to $94,999",Associate Degree,IL,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$65,000 to $69,999",High school graduate,CA,41 to 50,Other race,Male 41 to 50
Joe Biden,Male,"$150,000 to $174,999",Masters degree,MN,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$45,000 to $49,999",High school graduate,NJ,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$20,000 to $24,999",Associate Degree,MS,21 to 30,other asian or pacific islander,Male 21 to 30
Joe Biden,Male,"$30,000 to $34,999",Associate Degree,CO,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,SD,41 to 50,White,Male 41 to 50
Donald Trump,Female,"$45,000 to $49,999",Masters degree,MS,31 to 40,White,Female 31 to 40
Joe Biden,Male,"$25,000 to $29,999","Completed some college, but no degree",OR,51 to 60,White,Male 51 to 60
Joe Biden,Female,"Less than $14,999",Completed some high school,MI,61 to 70,White,Female 61 to 70
Joe Biden,Male,"$100,000 to $124,999",Masters degree,GA,41 to 50,White,Male 41 to 50
Donald Trump,Male,"$45,000 to $49,999","Completed some college, but no degree",CA,51 to 60,Other race,Male 51 to 60
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,CA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$100,000 to $124,999",Masters degree,MI,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$80,000 to $84,999",Masters degree,FL,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$125,000 to $149,999",High school graduate,NC,51 to 60,White,Female 51 to 60
Donald Trump,Female,"$60,000 to $64,999",Associate Degree,OK,51 to 60,White,Female 51 to 60
Joe Biden,Male,"Less than $14,999","Completed some college, but no degree",CA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$15,000 to $19,999",High school graduate,NJ,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$85,000 to $89,999",Associate Degree,MI,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999","Completed some college, but no degree",AR,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$20,000 to $24,999",High school graduate,NC,61 to 70,"Black, or African American",Female 61 to 70
Donald Trump,Female,"$100,000 to $124,999",Associate Degree,TN,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$175,000 to $199,999",Masters degree,SC,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$40,000 to $44,999","Completed some college, but no degree",VA,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$35,000 to $39,999","Completed some college, but no degree",CA,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$60,000 to $64,999","Completed some college, but no degree",NC,51 to 60,White,Female 51 to 60
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",CA,20 or less,White,Female 20 or less
Joe Biden,Female,"$25,000 to $29,999",High school graduate,CA,21 to 30,Other race,Female 21 to 30
Joe Biden,Female,"$90,000 to $94,999","Completed some college, but no degree",IA,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$30,000 to $34,999",High school graduate,CA,20 or less,Other race,Female 20 or less
Joe Biden,Male,"$20,000 to $24,999",Completed some high school,IL,51 to 60,"Black, or African American",Male 51 to 60
Joe Biden,Female,"$80,000 to $84,999","Completed some college, but no degree",FL,51 to 60,"Black, or African American",Female 51 to 60
Joe Biden,Female,"$50,000 to $54,999",Completed some high school,CA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"Less than $14,999","Completed some college, but no degree",VA,41 to 50,"Black, or African American",Female 41 to 50
Donald Trump,Male,"Less than $14,999",Middle School - Grades 4 - 8,NY,31 to 40,"Black, or African American",Male 31 to 40
Joe Biden,Male,"Less than $14,999",High school graduate,MA,21 to 30,"Black, or African American",Male 21 to 30
Donald Trump,Male,"$80,000 to $84,999",Associate Degree,SC,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$150,000 to $174,999",Associate Degree,CT,61 to 70,White,Female 61 to 70
Donald Trump,Female,"$25,000 to $29,999","Completed some college, but no degree",OR,41 to 50,Other race,Female 41 to 50
Donald Trump,Male,"$55,000 to $59,999",Associate Degree,OK,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$80,000 to $84,999",Completed some high school,AR,21 to 30,White,Female 21 to 30
Donald Trump,Female,"$30,000 to $34,999","Completed some college, but no degree",NC,21 to 30,"Black, or African American",Female 21 to 30
Donald Trump,Male,"$30,000 to $34,999","Completed some college, but no degree",MO,31 to 40,White,Male 31 to 40
Joe Biden,Male,"$50,000 to $54,999",Associate Degree,ME,21 to 30,White,Male 21 to 30
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,FL,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$15,000 to $19,999",Associate Degree,FL,41 to 50,White,Male 41 to 50
Joe Biden,Female,"$90,000 to $94,999",High school graduate,CA,21 to 30,American Indian or Alaska Native,Female 21 to 30
Donald Trump,Male,"$15,000 to $19,999",Completed some high school,HI,31 to 40,other asian or pacific islander,Male 31 to 40
Joe Biden,Male,"Less than $14,999",Completed some high school,NM,21 to 30,White,Male 21 to 30
Joe Biden,Male,"$70,000 to $74,999",High school graduate,CA,31 to 40,White,Male 31 to 40
Joe Biden,Female,"$40,000 to $44,999",Completed some high school,TX,31 to 40,White,Female 31 to 40
Donald Trump,Female,"$30,000 to $34,999",High school graduate,LA,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$85,000 to $89,999","Completed some college, but no degree",WI,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$45,000 to $49,999",Associate Degree,PA,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$50,000 to $54,999","Completed some college, but no degree",IL,31 to 40,White,Male 31 to 40
Donald Trump,Female,"Less than $14,999",Completed some high school,SC,21 to 30,White,Female 21 to 30
Donald Trump,Female,"Less than $14,999",Completed some high school,NC,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$55,000 to $59,999","Completed some college, but no degree",CA,61 to 70,White,Female 61 to 70
Donald Trump,Male,"$20,000 to $24,999",High school graduate,FL,61 to 70,White,Male 61 to 70
Donald Trump,Female,"$15,000 to $19,999","Completed some college, but no degree",AZ,61 to 70,White,Female 61 to 70
Joe Biden,Female,"$175,000 to $199,999",Masters degree,OH,61 to 70,"Black, or African American",Female 61 to 70
Joe Biden,Male,"$15,000 to $19,999",Completed some high school,NC,20 or less,"Black, or African American",Male 20 or less
Joe Biden,Female,"$40,000 to $44,999","Completed some college, but no degree",OR,61 to 70,Other race,Female 61 to 70
Joe Biden,Female,"$50,000 to $54,999","Completed some college, but no degree",IL,41 to 50,White,Female 41 to 50
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,CA,61 to 70,White,Male 61 to 70
Joe Biden,Female,"$50,000 to $54,999",Associate Degree,CA,51 to 60,White,Female 51 to 60
Joe Biden,Female,"$70,000 to $74,999",Masters degree,IL,41 to 50,White,Female 41 to 50
Donald Trump,Male,"$25,000 to $29,999",Associate Degree,MA,51 to 60,White,Male 51 to 60
Donald Trump,Female,"$40,000 to $44,999",High school graduate,PA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$35,000 to $39,999",Masters degree,PA,21 to 30,White,Female 21 to 30
Joe Biden,Female,"$20,000 to $24,999",High school graduate,NC,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$75,000 to $79,999",Associate Degree,LA,51 to 60,White,Male 51 to 60
Donald Trump,Male,"$45,000 to $49,999","Completed some college, but no degree",FL,21 to 30,White,Male 21 to 30
Joe Biden,Female,"$100,000 to $124,999",Associate Degree,CO,61 to 70,White,Female 61 to 70
Donald Trump,Female,"Less than $14,999",Completed some high school,WV,51 to 60,White,Female 51 to 60
Donald Trump,Male,"$200,000 to $249,999",Doctorate degree,CA,31 to 40,White,Male 31 to 40
Donald Trump,Male,"$50,000 to $54,999",Associate Degree,AZ,51 to 60,White,Male 51 to 60
Joe Biden,Male,"$50,000 to $54,999",High school graduate,NC,61 to 70,White,Male 61 to 70
Donald Trump,Male,"$100,000 to $124,999",Associate Degree,PA,71 to 80,White,Male 71 to 80
Donald Trump,Male,"$95,000 to $99,999",High school graduate,VA,61 to 70,White,Male 61 to 70
Joe Biden,Male,"$100,000 to $124,999",Masters degree,MA,41 to 50,Chinese,Male 41 to 50
Joe Biden,Male,"$125,000 to $149,999",Associate Degree,NY,31 to 40,White,Male 31 to 40
