registration,vote_intention,vote_2020,age,gender,race_ethnicity,household_income,education,state,vote_trump
Registered,"Yes, I will vote",Joe Biden,72,Female,White,"$45,000 to $49,999","Completed some college, but no degree",NY,0
Registered,"Yes, I will vote",Donald Trump,59,Female,White,"$30,000 to $34,999","Completed some college, but no degree",AL,1
Registered,"Yes, I will vote",Joe Biden,65,Female,White,"$90,000 to $94,999",Masters degree,IA,0
Registered,"Yes, I will vote",Donald Trump,57,Female,White,"$25,000 to $29,999","Completed some graduate, but no degree",NJ,1
Registered,"Yes, I will vote",Joe Biden,28,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NV,0
Registered,"Yes, I will vote",Donald Trump,52,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IN,1
Registered,"Yes, I will vote",Joe Biden,65,Female,White,"$100,000 to $124,999",Associate Degree,CT,0
Registered,"Yes, I will vote",Joe Biden,80,Female,"Black, or African American","$50,000 to $54,999",Associate Degree,OH,0
Registered,"Yes, I will vote",Joe Biden,35,Male,Asian (Asian Indian),"$95,000 to $99,999","Completed some graduate, but no degree",OH,0
Registered,"Yes, I will vote",Joe Biden,44,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",PA,0
Registered,"Yes, I will vote",Joe Biden,65,Female,Some other race,"$15,000 to $19,999",Other post high school vocational training,NM,0
Registered,"Yes, I will vote",Joe Biden,59,Male,White,"$200,000 to $249,999","Completed some college, but no degree",CO,0
Registered,"Yes, I will vote",Joe Biden,34,Female,Some other race,"Less than $14,999",Completed some high school,AZ,0
Registered,"Yes, I will vote",Joe Biden,23,Female,Some other race,"Less than $14,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Joe Biden,50,Female,Asian (Chinese),"$125,000 to $149,999",Masters degree,HI,0
Registered,"Yes, I will vote",Donald Trump,53,Female,White,"$80,000 to $84,999",High school graduate,CA,1
Registered,"Yes, I will vote",Donald Trump,41,Male,Asian (Korean),"$200,000 to $249,999","College Degree (such as B.A., B.S.)",VA,1
Registered,"Yes, I will vote",Joe Biden,36,Male,White,"$45,000 to $49,999",Associate Degree,HI,0
Registered,"Yes, I will vote",Joe Biden,49,Male,Asian (Asian Indian),"$175,000 to $199,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Donald Trump,30,Male,White,"$100,000 to $124,999",Masters degree,CA,1
Registered,"Yes, I will vote",Joe Biden,68,Male,White,"$15,000 to $19,999",Other post high school vocational training,WA,0
Registered,"Yes, I will vote",Donald Trump,21,Female,White,"Less than $14,999",Completed some high school,OH,1
Registered,"Yes, I will vote",Joe Biden,20,Male,Asian (Filipino),"Less than $14,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Donald Trump,27,Male,"Black, or African American","$20,000 to $24,999","Completed some graduate, but no degree",TX,1
Registered,"Yes, I will vote",Donald Trump,50,Female,"Black, or African American","Less than $14,999",Completed some high school,NV,1
Registered,"Yes, I will vote",Donald Trump,59,Male,White,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",RI,1
Registered,"Yes, I will vote",Joe Biden,19,Female,"Black, or African American","$100,000 to $124,999",High school graduate,NY,0
Registered,"Yes, I will vote",Joe Biden,35,Male,White,"$40,000 to $44,999",High school graduate,OH,0
Registered,"Yes, I will vote",Joe Biden,37,Female,White,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",CT,0
Registered,"Yes, I will vote",Joe Biden,33,Male,White,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Joe Biden,30,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Joe Biden,37,Male,White,"$40,000 to $44,999",Completed some high school,IL,0
Registered,"Yes, I will vote",Donald Trump,35,Female,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",AL,1
Registered,"Yes, I will vote",Donald Trump,50,Female,White,"$40,000 to $44,999",Completed some high school,SC,1
Registered,"Yes, I will vote",Donald Trump,66,Male,White,"$175,000 to $199,999","Completed some college, but no degree",TX,1
Registered,"Yes, I will vote",Donald Trump,35,Male,White,"$30,000 to $34,999",Other post high school vocational training,AZ,1
Registered,"Yes, I will vote",Joe Biden,45,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,0
Registered,"Yes, I will vote",Joe Biden,43,Female,White,"Less than $14,999",Completed some high school,NY,0
Registered,"Yes, I will vote",Donald Trump,40,Female,White,"$30,000 to $34,999",Associate Degree,CA,1
Registered,"Yes, I will vote",Joe Biden,32,Female,Some other race,"Less than $14,999","College Degree (such as B.A., B.S.)",TX,0
Registered,"Yes, I will vote",Donald Trump,36,Male,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,1
Registered,"Yes, I will vote",Joe Biden,39,Male,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NJ,0
Registered,"Yes, I will vote",Joe Biden,61,Female,"Black, or African American","$35,000 to $39,999",Associate Degree,MS,0
Registered,"Yes, I will vote",Joe Biden,19,Female,White,"$90,000 to $94,999",Completed some high school,GA,0
Registered,"Yes, I will vote",Joe Biden,44,Female,Asian (Asian Indian),"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Joe Biden,54,Female,White,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Donald Trump,18,Male,White,"$35,000 to $39,999",Completed some high school,PA,1
Registered,"Yes, I will vote",Joe Biden,64,Female,White,"$85,000 to $89,999",Masters degree,FL,0
Registered,"Yes, I will vote",Donald Trump,51,Female,Asian (Chinese),"$70,000 to $74,999","College Degree (such as B.A., B.S.)",NC,1
Registered,"Yes, I will vote",Joe Biden,71,Female,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",MN,0
Registered,"Yes, I will vote",Joe Biden,20,Female,White,"$100,000 to $124,999","Completed some college, but no degree",VA,0
Registered,"Yes, I will vote",Joe Biden,25,Female,White,"$125,000 to $149,999","Completed some college, but no degree",TX,0
Registered,"Yes, I will vote",Joe Biden,20,Female,"Black, or African American","$250,000 and above",Masters degree,CA,0
Registered,"Yes, I will vote",Donald Trump,19,Female,White,"$80,000 to $84,999",Associate Degree,OR,1
Registered,"Yes, I will vote",Joe Biden,52,Female,White,"$45,000 to $49,999","Completed some graduate, but no degree",CA,0
Registered,"Yes, I will vote",Donald Trump,54,Male,White,"$90,000 to $94,999",Associate Degree,WI,1
Registered,"Yes, I will vote",Joe Biden,38,Female,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",IL,0
Registered,"Yes, I will vote",Joe Biden,36,Female,"Black, or African American","$20,000 to $24,999",Completed some high school,SC,0
Registered,"Yes, I will vote",Joe Biden,27,Female,White,"$100,000 to $124,999",Masters degree,NC,0
Registered,"Yes, I will vote",Joe Biden,22,Female,White,"Less than $14,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Donald Trump,71,Male,White,"$200,000 to $249,999","Completed some college, but no degree",PA,1
Registered,"Yes, I will vote",Donald Trump,65,Male,White,"$50,000 to $54,999","Completed some college, but no degree",NY,1
Registered,"Yes, I will vote",Joe Biden,60,Female,White,"$30,000 to $34,999","Completed some college, but no degree",PA,0
Registered,"Yes, I will vote",Donald Trump,56,Female,White,"$45,000 to $49,999","Completed some college, but no degree",MO,1
Registered,"Yes, I will vote",Donald Trump,49,Female,White,"$175,000 to $199,999","College Degree (such as B.A., B.S.)",TX,1
Registered,Not sure,Joe Biden,60,Male,White,"$50,000 to $54,999",Completed some high school,OH,0
Registered,"Yes, I will vote",Donald Trump,67,Female,White,"Less than $14,999","Completed some college, but no degree",OR,1
Registered,"Yes, I will vote",Joe Biden,48,Male,Asian (Chinese),"$125,000 to $149,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Donald Trump,40,Male,White,"$40,000 to $44,999",Middle School - Grades 4 - 8,SD,1
Registered,"Yes, I will vote",Joe Biden,68,Male,White,"$35,000 to $39,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Joe Biden,73,Female,"Black, or African American","$25,000 to $29,999","Completed some college, but no degree",GA,0
Registered,"Yes, I will vote",Donald Trump,49,Male,White,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",TX,1
Registered,"Yes, I will vote",Joe Biden,72,Male,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",MI,0
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$175,000 to $199,999","Completed some college, but no degree",MD,1
Registered,"Yes, I will vote",Joe Biden,49,Male,"Black, or African American","$55,000 to $59,999","Completed some college, but no degree",LA,0
Registered,"Yes, I will vote",Joe Biden,59,Female,"Black, or African American","$35,000 to $39,999","Completed some college, but no degree",NJ,0
Registered,"Yes, I will vote",Donald Trump,39,Male,White,"Less than $14,999","Completed some college, but no degree",UT,1
Registered,"Yes, I will vote",Joe Biden,25,Male,White,"Less than $14,999",Completed some high school,CA,0
Registered,"Yes, I will vote",Donald Trump,57,Male,White,"$30,000 to $34,999",High school graduate,CA,1
Registered,"Yes, I will vote",Donald Trump,46,Male,White,"$100,000 to $124,999",Other post high school vocational training,TN,1
Registered,"Yes, I will vote",Donald Trump,62,Male,White,"$55,000 to $59,999",High school graduate,KY,1
Registered,"Yes, I will vote",Donald Trump,33,Female,White,"$45,000 to $49,999","Completed some college, but no degree",CA,1
Registered,"Yes, I will vote",Joe Biden,53,Male,"Black, or African American","$100,000 to $124,999","Completed some college, but no degree",TX,0
Registered,"Yes, I will vote",Joe Biden,44,Male,White,"$50,000 to $54,999",Other post high school vocational training,IL,0
Registered,"Yes, I will vote",Donald Trump,38,Male,White,"$200,000 to $249,999",Masters degree,NY,1
Registered,"Yes, I will vote",Donald Trump,66,Male,White,"$45,000 to $49,999","Completed some college, but no degree",NV,1
Registered,"Yes, I will vote",Donald Trump,46,Male,White,"Less than $14,999","Completed some college, but no degree",ID,1
Registered,"Yes, I will vote",Donald Trump,35,Male,White,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",GA,1
Registered,"Yes, I will vote",Joe Biden,35,Female,"Black, or African American","$70,000 to $74,999",Completed some high school,GA,0
Registered,"Yes, I will vote",Donald Trump,53,Male,White,"$40,000 to $44,999","Completed some college, but no degree",CO,1
Registered,"Yes, I will vote",Donald Trump,52,Female,White,"$30,000 to $34,999",Completed some high school,OR,1
Registered,"Yes, I will vote",Donald Trump,65,Female,American Indian or Alaska Native,"$85,000 to $89,999",Associate Degree,WA,1
Registered,"Yes, I will vote",Joe Biden,74,Male,White,"$75,000 to $79,999","Completed some college, but no degree",ID,0
Registered,"Yes, I will vote",Joe Biden,45,Male,White,"$250,000 and above",Masters degree,CA,0
Registered,"Yes, I will vote",Joe Biden,24,Female,Some other race,"$75,000 to $79,999",Completed some high school,NY,0
Registered,"Yes, I will vote",Joe Biden,61,Male,"Black, or African American","$20,000 to $24,999",Other post high school vocational training,MI,0
Registered,"Yes, I will vote",Donald Trump,49,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,1
Registered,"Yes, I will vote",Donald Trump,29,Male,White,"$30,000 to $34,999",Associate Degree,CO,1
Registered,"Yes, I will vote",Donald Trump,30,Male,White,"Less than $14,999",Completed some high school,LA,1
Registered,"Yes, I will vote",Joe Biden,36,Female,White,"$30,000 to $34,999","Completed some college, but no degree",TX,0
Registered,"Yes, I will vote",Joe Biden,20,Male,White,"$40,000 to $44,999","Completed some college, but no degree",FL,0
Registered,"Yes, I will vote",Joe Biden,38,Female,Asian (Korean),"$150,000 to $174,999",Masters degree,AZ,0
Registered,"Yes, I will vote",Joe Biden,39,Male,White,"$70,000 to $74,999","Completed some college, but no degree",WA,0
Registered,"Yes, I will vote",Donald Trump,29,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,1
Registered,"Yes, I will vote",Donald Trump,55,Male,White,"$45,000 to $49,999",Masters degree,FL,1
Registered,"Yes, I will vote",Donald Trump,18,Female,White,"Less than $14,999",Completed some high school,MS,1
Registered,Not sure,Joe Biden,52,Female,"Black, or African American","$50,000 to $54,999",High school graduate,NC,0
Registered,"Yes, I will vote",Donald Trump,49,Female,White,"$15,000 to $19,999",High school graduate,TX,1
Registered,"Yes, I will vote",Donald Trump,57,Female,White,"$15,000 to $19,999",High school graduate,VA,1
Registered,"Yes, I will vote",Joe Biden,22,Female,White,"Less than $14,999","Completed some college, but no degree",WI,0
Registered,"Yes, I will vote",Donald Trump,57,Male,White,"$45,000 to $49,999",High school graduate,NC,1
Registered,"Yes, I will vote",Joe Biden,62,Female,White,"$45,000 to $49,999","Completed some college, but no degree",TX,0
Registered,"Yes, I will vote",Joe Biden,31,Female,White,"$35,000 to $39,999",Other post high school vocational training,NC,0
Registered,"Yes, I will vote",Donald Trump,76,Female,White,"$25,000 to $29,999",Associate Degree,OH,1
Registered,"Yes, I will vote",Joe Biden,27,Male,White,"$35,000 to $39,999","Completed some college, but no degree",UT,0
Registered,"Yes, I will vote",Joe Biden,27,Female,White,"Less than $14,999",High school graduate,TX,0
Registered,"Yes, I will vote",Donald Trump,66,Female,White,"$100,000 to $124,999",Masters degree,CA,1
Registered,"Yes, I will vote",Donald Trump,40,Male,Some other race,"$50,000 to $54,999","Completed some college, but no degree",TX,1
Registered,"Yes, I will vote",Joe Biden,43,Male,"Black, or African American","$45,000 to $49,999","College Degree (such as B.A., B.S.)",SC,0
Registered,"Yes, I will vote",Donald Trump,34,Male,White,"$85,000 to $89,999",High school graduate,IA,1
Registered,"Yes, I will vote",Donald Trump,75,Male,White,"$55,000 to $59,999","Completed some college, but no degree",FL,1
Registered,"Yes, I will vote",Donald Trump,65,Male,White,"$45,000 to $49,999",Other post high school vocational training,PA,1
Registered,"Yes, I will vote",Donald Trump,40,Female,White,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",LA,1
Registered,"Yes, I will vote",Joe Biden,39,Male,Some other race,"$35,000 to $39,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Donald Trump,57,Female,White,"$80,000 to $84,999",Other post high school vocational training,MN,1
Registered,"Yes, I will vote",Joe Biden,49,Male,White,"Less than $14,999","Completed some college, but no degree",KY,0
Registered,"Yes, I will vote",Donald Trump,47,Male,White,"Less than $14,999",Masters degree,MA,1
Registered,"Yes, I will vote",Donald Trump,56,Male,White,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",TX,1
Registered,"Yes, I will vote",Donald Trump,51,Male,Some other race,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",PA,1
Registered,"Yes, I will vote",Joe Biden,39,Male,White,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",SC,0
Registered,"Yes, I will vote",Donald Trump,40,Male,White,"$200,000 to $249,999","Completed some graduate, but no degree",NY,1
Registered,"Yes, I will vote",Joe Biden,40,Male,White,"$125,000 to $149,999",Masters degree,WA,0
Registered,"Yes, I will vote",Joe Biden,69,Male,"Black, or African American","$15,000 to $19,999",Completed some high school,NY,0
Registered,"Yes, I will vote",Joe Biden,67,Male,White,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,0
Registered,"Yes, I will vote",Donald Trump,63,Male,White,"$150,000 to $174,999","Completed some college, but no degree",IL,1
Registered,"Yes, I will vote",Joe Biden,73,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,0
Registered,"Yes, I will vote",Joe Biden,59,Male,White,"$175,000 to $199,999",Masters degree,OH,0
Registered,"Yes, I will vote",Joe Biden,48,Female,"Black, or African American","$40,000 to $44,999",Masters degree,MD,0
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$200,000 to $249,999",Masters degree,TX,1
Registered,"Yes, I will vote",Donald Trump,50,Male,White,"$100,000 to $124,999","Completed some college, but no degree",AZ,1
Registered,"Yes, I will vote",Donald Trump,53,Male,White,"$75,000 to $79,999","Completed some college, but no degree",PA,1
Registered,"Yes, I will vote",Joe Biden,30,Male,Some other race,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,0
Registered,"Yes, I will vote",Joe Biden,36,Male,White,"$45,000 to $49,999",Completed some high school,NY,0
Registered,"Yes, I will vote",Donald Trump,58,Female,White,"$20,000 to $24,999",High school graduate,WV,1
Registered,"Yes, I will vote",Joe Biden,25,Male,Some other race,"$100,000 to $124,999",Associate Degree,OH,0
Registered,"Yes, I will vote",Joe Biden,64,Female,White,"$40,000 to $44,999","Completed some college, but no degree",NC,0
Registered,"Yes, I will vote",Joe Biden,67,Female,White,"$35,000 to $39,999","Completed some college, but no degree",PA,0
Registered,"Yes, I will vote",Donald Trump,47,Female,White,"Less than $14,999","Completed some college, but no degree",MI,1
Registered,"Yes, I will vote",Joe Biden,37,Female,White,"$90,000 to $94,999",Doctorate degree,NC,0
Registered,"Yes, I will vote",Joe Biden,40,Female,White,"$100,000 to $124,999",Masters degree,TN,0
Registered,"Yes, I will vote",Joe Biden,37,Male,White,"$175,000 to $199,999",Masters degree,FL,0
Registered,"Yes, I will vote",Donald Trump,74,Female,White,"$35,000 to $39,999",High school graduate,PA,1
Registered,"Yes, I will vote",Donald Trump,46,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",OH,1
Registered,"Yes, I will vote",Joe Biden,58,Female,White,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",FL,0
Registered,Not sure,Donald Trump,33,Female,White,"$15,000 to $19,999",Completed some high school,KS,1
Registered,"Yes, I will vote",Joe Biden,69,Female,"Black, or African American","$15,000 to $19,999","Completed some college, but no degree",MO,0
Registered,"Yes, I will vote",Donald Trump,72,Male,Asian (Vietnamese),"$20,000 to $24,999",Associate Degree,MI,1
Registered,"Yes, I will vote",Donald Trump,38,Male,White,"$175,000 to $199,999",Masters degree,NY,1
Registered,"Yes, I will vote",Donald Trump,41,Male,White,"$150,000 to $174,999",Masters degree,TX,1
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$150,000 to $174,999",Masters degree,NY,1
Registered,"Yes, I will vote",Donald Trump,60,Female,White,"Less than $14,999",High school graduate,IL,1
Registered,"Yes, I will vote",Joe Biden,57,Female,White,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Joe Biden,27,Female,"Black, or African American","Less than $14,999","Completed some college, but no degree",OH,0
Registered,"Yes, I will vote",Joe Biden,57,Female,Some other race,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AL,0
Registered,"Yes, I will vote",Donald Trump,37,Female,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",MD,1
Registered,"Yes, I will vote",Joe Biden,38,Male,White,"$150,000 to $174,999",Masters degree,KS,0
Registered,"Yes, I will vote",Donald Trump,42,Male,White,"$250,000 and above",Masters degree,VA,1
Registered,"Yes, I will vote",Joe Biden,77,Male,White,"$90,000 to $94,999","Completed some college, but no degree",NJ,0
Registered,"Yes, I will vote",Joe Biden,65,Female,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Joe Biden,40,Male,White,"$250,000 and above",Masters degree,NY,0
Registered,"Yes, I will vote",Donald Trump,78,Female,White,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",NJ,1
Registered,"Yes, I will vote",Joe Biden,39,Male,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CT,0
Registered,"Yes, I will vote",Donald Trump,39,Male,White,"$150,000 to $174,999",Masters degree,NY,1
Registered,"Yes, I will vote",Donald Trump,30,Female,White,"$50,000 to $54,999",High school graduate,TN,1
Registered,"Yes, I will vote",Joe Biden,43,Male,White,"$150,000 to $174,999",Masters degree,CA,0
Registered,"Yes, I will vote",Donald Trump,67,Female,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,1
Registered,"Yes, I will vote",Joe Biden,83,Female,White,"$50,000 to $54,999",High school graduate,NJ,0
Registered,"Yes, I will vote",Donald Trump,46,Male,White,"$25,000 to $29,999",High school graduate,CA,1
Registered,"Yes, I will vote",Joe Biden,30,Female,White,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NH,0
Registered,"Yes, I will vote",Donald Trump,68,Female,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",PA,1
Registered,"Yes, I will vote",Joe Biden,41,Male,White,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,0
Registered,"Yes, I will vote",Donald Trump,68,Female,White,"$15,000 to $19,999",Associate Degree,NY,1
Registered,"Yes, I will vote",Joe Biden,68,Male,White,"$150,000 to $174,999",Masters degree,PA,0
Registered,"Yes, I will vote",Joe Biden,19,Female,"Black, or African American","$45,000 to $49,999",High school graduate,CA,0
Registered,"Yes, I will vote",Joe Biden,64,Male,White,"$150,000 to $174,999","Completed some college, but no degree",PA,0
Registered,"Yes, I will vote",Joe Biden,56,Female,"Black, or African American","$40,000 to $44,999",High school graduate,MO,0
Registered,"Yes, I will vote",Donald Trump,51,Male,Some other race,"$95,000 to $99,999",Masters degree,NY,1
Registered,"Yes, I will vote",Joe Biden,29,Female,White,"$75,000 to $79,999",Associate Degree,OH,0
Registered,"Yes, I will vote",Donald Trump,30,Male,White,"Less than $14,999",Completed some high school,MO,1
Registered,Not sure,Donald Trump,60,Female,White,"Less than $14,999",High school graduate,OH,1
Registered,"Yes, I will vote",Joe Biden,42,Male,White,"$125,000 to $149,999",Masters degree,NY,0
Registered,"Yes, I will vote",Donald Trump,46,Male,White,"$75,000 to $79,999","Completed some college, but no degree",OH,1
Registered,"Yes, I will vote",Donald Trump,57,Male,White,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",MA,1
Registered,"Yes, I will vote",Joe Biden,46,Female,White,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",TX,0
Registered,"Yes, I will vote",Donald Trump,39,Male,White,"$250,000 and above",Masters degree,IL,1
Registered,"Yes, I will vote",Joe Biden,31,Male,White,"$90,000 to $94,999","Completed some graduate, but no degree",MD,0
Registered,"Yes, I will vote",Joe Biden,28,Male,"Black, or African American","$25,000 to $29,999","College Degree (such as B.A., B.S.)",FL,0
Registered,"Yes, I will vote",Donald Trump,79,Female,White,"$30,000 to $34,999",High school graduate,OH,1
Registered,"Yes, I will vote",Donald Trump,57,Female,White,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",NY,1
Registered,"Yes, I will vote",Donald Trump,36,Male,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",MI,1
Registered,"Yes, I will vote",Joe Biden,68,Male,White,"$100,000 to $124,999","Completed some college, but no degree",NC,0
Registered,"Yes, I will vote",Joe Biden,57,Female,"Black, or African American","$60,000 to $64,999",Associate Degree,NY,0
Registered,"Yes, I will vote",Joe Biden,25,Male,"Black, or African American","$25,000 to $29,999",High school graduate,GA,0
Registered,"Yes, I will vote",Donald Trump,51,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",AZ,1
Registered,"Yes, I will vote",Joe Biden,58,Male,"Black, or African American","$70,000 to $74,999",Associate Degree,GA,0
Registered,"Yes, I will vote",Donald Trump,63,Male,White,"$15,000 to $19,999","Completed some college, but no degree",OH,1
Registered,"Yes, I will vote",Joe Biden,24,Male,"Black, or African American","$75,000 to $79,999","College Degree (such as B.A., B.S.)",NY,0
Registered,"Yes, I will vote",Donald Trump,43,Male,White,"$175,000 to $199,999",Masters degree,NY,1
Registered,"Yes, I will vote",Joe Biden,73,Male,White,"$250,000 and above",Doctorate degree,AL,0
Registered,"Yes, I will vote",Donald Trump,54,Male,White,"$15,000 to $19,999",Masters degree,GA,1
Registered,"Yes, I will vote",Joe Biden,60,Male,White,"$70,000 to $74,999","Completed some college, but no degree",WI,0
Registered,"Yes, I will vote",Joe Biden,63,Male,White,"$15,000 to $19,999",Associate Degree,NY,0
Registered,"Yes, I will vote",Joe Biden,40,Male,White,"$95,000 to $99,999","Completed some college, but no degree",IL,0
Registered,"Yes, I will vote",Joe Biden,49,Male,White,"$150,000 to $174,999",Masters degree,FL,0
Registered,"Yes, I will vote",Joe Biden,21,Male,"Black, or African American","$50,000 to $54,999",High school graduate,FL,0
Registered,"Yes, I will vote",Donald Trump,60,Male,White,"$40,000 to $44,999","Completed some college, but no degree",MO,1
Registered,"Yes, I will vote",Donald Trump,71,Male,White,"$65,000 to $69,999",Other post high school vocational training,OH,1
Registered,"Yes, I will vote",Joe Biden,33,Male,White,"$30,000 to $34,999",Other post high school vocational training,PA,0
Registered,"Yes, I will vote",Joe Biden,59,Male,White,"$20,000 to $24,999",High school graduate,AZ,0
Registered,"Yes, I will vote",Donald Trump,83,Male,White,"$70,000 to $74,999","Completed some college, but no degree",NJ,1
Registered,"Yes, I will vote",Joe Biden,64,Male,"Black, or African American","$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,0
Registered,"Yes, I will vote",Joe Biden,48,Male,White,"$80,000 to $84,999","Completed some graduate, but no degree",MI,0
Registered,"Yes, I will vote",Joe Biden,45,Male,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",NC,0
Registered,"Yes, I will vote",Donald Trump,56,Male,White,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",WI,1
Registered,"Yes, I will vote",Donald Trump,68,Male,White,"$65,000 to $69,999","Completed some college, but no degree",FL,1
Registered,"Yes, I will vote",Donald Trump,37,Male,White,"$50,000 to $54,999","Completed some college, but no degree",GA,1
Registered,"Yes, I will vote",Joe Biden,35,Male,White,"$250,000 and above",Doctorate degree,TX,0
Registered,"Yes, I will vote",Joe Biden,66,Female,"Black, or African American","$25,000 to $29,999",Associate Degree,IN,0
Registered,"Yes, I will vote",Joe Biden,45,Male,Some other race,"$60,000 to $64,999",High school graduate,WI,0
Registered,"Yes, I will vote",Donald Trump,61,Male,White,"$30,000 to $34,999",Other post high school vocational training,AZ,1
Registered,"Yes, I will vote",Joe Biden,72,Female,White,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",IA,0
Registered,"Yes, I will vote",Donald Trump,55,Male,White,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NH,1
Registered,"Yes, I will vote",Donald Trump,20,Male,White,"$55,000 to $59,999","Completed some college, but no degree",CO,1
Registered,"Yes, I will vote",Donald Trump,46,Male,White,"$15,000 to $19,999",Associate Degree,IN,1
Registered,"Yes, I will vote",Joe Biden,64,Female,White,"$250,000 and above",Associate Degree,KY,0
Registered,"Yes, I will vote",Donald Trump,38,Female,White,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",MI,1
Registered,"Yes, I will vote",Donald Trump,68,Female,Asian (Chinese),"$70,000 to $74,999","College Degree (such as B.A., B.S.)",NJ,1
Registered,"Yes, I will vote",Joe Biden,64,Male,White,"$85,000 to $89,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Joe Biden,37,Male,White,"$15,000 to $19,999",Completed some high school,TX,0
Registered,"Yes, I will vote",Donald Trump,59,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",NY,1
Registered,"Yes, I will vote",Joe Biden,63,Female,White,"$80,000 to $84,999",Masters degree,MN,0
Registered,"Yes, I will vote",Joe Biden,77,Female,White,"$15,000 to $19,999",Associate Degree,LA,0
Registered,"Yes, I will vote",Joe Biden,59,Female,White,"$125,000 to $149,999",Masters degree,GA,0
Registered,"Yes, I will vote",Joe Biden,50,Male,White,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",IL,0
Registered,"Yes, I will vote",Donald Trump,64,Male,White,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",FL,1
Registered,"Yes, I will vote",Joe Biden,23,Male,Some other race,"$55,000 to $59,999","Completed some college, but no degree",CA,0
Registered,"Yes, I will vote",Joe Biden,43,Male,Asian (Chinese),"$35,000 to $39,999","College Degree (such as B.A., B.S.)",CA,0
